Stage   | elapsed | total score                             | per-constraint (hard/medium only)
          block-end-within-window                       score=-133hard/0medium/0soft         matches=48
          block-no-underfill                            score=-140hard/0medium/0soft         matches=3
          block-overfill-at-most-one-day                score=-1018hard/0medium/0soft        matches=62
          emp-monthly-overtime-limit                    score=-160hard/0medium/0soft         matches=27
          emp-one-task-per-day                          score=-306hard/0medium/0soft         matches=306
          emp-region-transit-gap                        score=-106hard/0medium/0soft         matches=72
          phase-order                                   score=-1641hard/0medium/0soft        matches=216
          seat-daily-cap-12h                            score=-1932hard/0medium/0soft        matches=306
Stage1  | t+11402s | total=-5434hard/0medium/-648758soft           
          block-end-within-window                       score=-124hard/0medium/0soft         matches=44
          block-no-underfill                            score=-120hard/0medium/0soft         matches=3
          block-overfill-at-most-one-day                score=-920hard/0medium/0soft         matches=65
          emp-monthly-overtime-limit                    score=-176hard/0medium/0soft         matches=27
          emp-one-task-per-day                          score=-335hard/0medium/0soft         matches=332
          emp-region-transit-gap                        score=-106hard/0medium/0soft         matches=77
          phase-order                                   score=-1693hard/0medium/0soft        matches=225
          seat-daily-cap-12h                            score=-1960hard/0medium/0soft        matches=332
Stage1  | t+11403s | total=-5434hard/0medium/-647590soft           
          block-end-within-window                       score=-124hard/0medium/0soft         matches=44
          block-no-underfill                            score=-120hard/0medium/0soft         matches=3
          block-overfill-at-most-one-day                score=-920hard/0medium/0soft         matches=65
          emp-monthly-overtime-limit                    score=-176hard/0medium/0soft         matches=27
          emp-one-task-per-day                          score=-335hard/0medium/0soft         matches=332
          emp-region-transit-gap                        score=-106hard/0medium/0soft         matches=77
          phase-order                                   score=-1693hard/0medium/0soft        matches=225
          seat-daily-cap-12h                            score=-1960hard/0medium/0soft        matches=332
Stage1  | t+11404s | total=-5419hard/0medium/-647565soft           
          block-end-within-window                       score=-119hard/0medium/0soft         matches=43
          block-no-underfill                            score=-120hard/0medium/0soft         matches=3
          block-overfill-at-most-one-day                score=-920hard/0medium/0soft         matches=65
          emp-monthly-overtime-limit                    score=-168hard/0medium/0soft         matches=26
          emp-one-task-per-day                          score=-332hard/0medium/0soft         matches=329
          emp-region-transit-gap                        score=-104hard/0medium/0soft         matches=75
          phase-order                                   score=-1706hard/0medium/0soft        matches=225
          seat-daily-cap-12h                            score=-1950hard/0medium/0soft        matches=329
Stage1  | t+11413s | total=-5412hard/0medium/-645200soft           
          block-end-within-window                       score=-109hard/0medium/0soft         matches=33
          block-no-underfill                            score=-160hard/0medium/0soft         matches=4
          block-overfill-at-most-one-day                score=-948hard/0medium/0soft         matches=65
          emp-monthly-overtime-limit                    score=-182hard/0medium/0soft         matches=26
          emp-one-task-per-day                          score=-333hard/0medium/0soft         matches=331
          emp-region-transit-gap                        score=-83hard/0medium/0soft          matches=72
          phase-order                                   score=-1585hard/0medium/0soft        matches=212
          seat-daily-cap-12h                            score=-2012hard/0medium/0soft        matches=331
Stage1  | t+11418s | total=-5408hard/0medium/-650138soft           
          block-end-within-window                       score=-120hard/0medium/0soft         matches=38
          block-no-underfill                            score=-80hard/0medium/0soft          matches=2
          block-overfill-at-most-one-day                score=-868hard/0medium/0soft         matches=65
          emp-monthly-overtime-limit                    score=-158hard/0medium/0soft         matches=20
          emp-one-task-per-day                          score=-323hard/0medium/0soft         matches=321
          emp-region-transit-gap                        score=-83hard/0medium/0soft          matches=63
          phase-order                                   score=-1704hard/0medium/0soft        matches=215
          seat-daily-cap-12h                            score=-2072hard/0medium/0soft        matches=321
Stage1  | t+11422s | total=-5405hard/0medium/-655345soft           
          block-end-within-window                       score=-125hard/0medium/0soft         matches=40
          block-no-underfill                            score=-40hard/0medium/0soft          matches=1
          block-overfill-at-most-one-day                score=-860hard/0medium/0soft         matches=63
          emp-monthly-overtime-limit                    score=-86hard/0medium/0soft          matches=13
          emp-one-task-per-day                          score=-346hard/0medium/0soft         matches=346
          emp-region-transit-gap                        score=-74hard/0medium/0soft          matches=59
          phase-order                                   score=-1752hard/0medium/0soft        matches=219
          seat-daily-cap-12h                            score=-2122hard/0medium/0soft        matches=346
Stage1  | t+11424s | total=-5398hard/0medium/-657039soft           
          block-end-within-window                       score=-124hard/0medium/0soft         matches=39
          block-no-underfill                            score=-40hard/0medium/0soft          matches=1
          block-overfill-at-most-one-day                score=-864hard/0medium/0soft         matches=61
          emp-monthly-overtime-limit                    score=-48hard/0medium/0soft          matches=8
          emp-one-task-per-day                          score=-351hard/0medium/0soft         matches=351
          emp-region-transit-gap                        score=-77hard/0medium/0soft          matches=62
          phase-order                                   score=-1744hard/0medium/0soft        matches=221
          seat-daily-cap-12h                            score=-2150hard/0medium/0soft        matches=351
Stage1  | t+11429s | total=-5374hard/0medium/-647022soft           
          block-end-within-window                       score=-126hard/0medium/0soft         matches=42
          block-no-underfill                            score=-80hard/0medium/0soft          matches=2
          block-overfill-at-most-one-day                score=-830hard/0medium/0soft         matches=57
          emp-monthly-overtime-limit                    score=-116hard/0medium/0soft         matches=16
          emp-one-task-per-day                          score=-351hard/0medium/0soft         matches=351
          emp-region-transit-gap                        score=-81hard/0medium/0soft          matches=61
          phase-order                                   score=-1704hard/0medium/0soft        matches=229
          seat-daily-cap-12h                            score=-2086hard/0medium/0soft        matches=351
Stage1  | t+11430s | total=-5346hard/0medium/-647037soft           
          block-end-within-window                       score=-126hard/0medium/0soft         matches=42
          block-no-underfill                            score=-80hard/0medium/0soft          matches=2
          block-overfill-at-most-one-day                score=-830hard/0medium/0soft         matches=57
          emp-monthly-overtime-limit                    score=-116hard/0medium/0soft         matches=16
          emp-one-task-per-day                          score=-347hard/0medium/0soft         matches=347
          emp-region-transit-gap                        score=-81hard/0medium/0soft          matches=61
          phase-order                                   score=-1704hard/0medium/0soft        matches=229
          seat-daily-cap-12h                            score=-2062hard/0medium/0soft        matches=347
Stage1  | t+11449s | total=-5345hard/0medium/-654614soft           
          block-end-within-window                       score=-128hard/0medium/0soft         matches=43
          block-no-underfill                            score=-40hard/0medium/0soft          matches=1
          block-overfill-at-most-one-day                score=-1064hard/0medium/0soft        matches=73
          emp-monthly-overtime-limit                    score=-142hard/0medium/0soft         matches=22
          emp-one-task-per-day                          score=-307hard/0medium/0soft         matches=307
          emp-region-transit-gap                        score=-88hard/0medium/0soft          matches=70
          phase-order                                   score=-1758hard/0medium/0soft        matches=232
          seat-daily-cap-12h                            score=-1818hard/0medium/0soft        matches=307
Stage1  | t+11450s | total=-5345hard/0medium/-653937soft           
          block-end-within-window                       score=-128hard/0medium/0soft         matches=43
          block-no-underfill                            score=-40hard/0medium/0soft          matches=1
          block-overfill-at-most-one-day                score=-1064hard/0medium/0soft        matches=73
          emp-monthly-overtime-limit                    score=-142hard/0medium/0soft         matches=22
          emp-one-task-per-day                          score=-307hard/0medium/0soft         matches=307
          emp-region-transit-gap                        score=-88hard/0medium/0soft          matches=70
          phase-order                                   score=-1758hard/0medium/0soft        matches=232
          seat-daily-cap-12h                            score=-1818hard/0medium/0soft        matches=307
Stage1  | t+11451s | total=-5333hard/0medium/-653873soft           
          block-end-within-window                       score=-128hard/0medium/0soft         matches=43
          block-no-underfill                            score=-40hard/0medium/0soft          matches=1
          block-overfill-at-most-one-day                score=-1064hard/0medium/0soft        matches=73
          emp-monthly-overtime-limit                    score=-138hard/0medium/0soft         matches=20
          emp-one-task-per-day                          score=-302hard/0medium/0soft         matches=302
          emp-region-transit-gap                        score=-89hard/0medium/0soft          matches=71
          phase-order                                   score=-1758hard/0medium/0soft        matches=232
          seat-daily-cap-12h                            score=-1814hard/0medium/0soft        matches=302
Stage1  | t+11456s | total=-5320hard/0medium/-651932soft           
          block-end-within-window                       score=-129hard/0medium/0soft         matches=44
          block-no-underfill                            score=-40hard/0medium/0soft          matches=1
          block-overfill-at-most-one-day                score=-1160hard/0medium/0soft        matches=76
          emp-monthly-overtime-limit                    score=-126hard/0medium/0soft         matches=20
          emp-one-task-per-day                          score=-288hard/0medium/0soft         matches=288
          emp-region-transit-gap                        score=-82hard/0medium/0soft          matches=62
          phase-order                                   score=-1735hard/0medium/0soft        matches=223
          seat-daily-cap-12h                            score=-1760hard/0medium/0soft        matches=288
Stage1  | t+11461s | total=-5292hard/0medium/-655336soft           
          block-end-within-window                       score=-116hard/0medium/0soft         matches=41
          block-overfill-at-most-one-day                score=-1128hard/0medium/0soft        matches=73
          emp-monthly-overtime-limit                    score=-132hard/0medium/0soft         matches=18
          emp-one-task-per-day                          score=-307hard/0medium/0soft         matches=307
          emp-region-transit-gap                        score=-76hard/0medium/0soft          matches=65
          phase-order                                   score=-1781hard/0medium/0soft        matches=215
          seat-daily-cap-12h                            score=-1752hard/0medium/0soft        matches=307
Stage1  | t+11481s | total=-5278hard/0medium/-652794soft           
          block-end-within-window                       score=-150hard/0medium/0soft         matches=51
          block-no-underfill                            score=-80hard/0medium/0soft          matches=2
          block-overfill-at-most-one-day                score=-1062hard/0medium/0soft        matches=65
          emp-monthly-overtime-limit                    score=-110hard/0medium/0soft         matches=18
          emp-one-task-per-day                          score=-312hard/0medium/0soft         matches=312
          emp-region-transit-gap                        score=-74hard/0medium/0soft          matches=58
          phase-order                                   score=-1592hard/0medium/0soft        matches=209
          seat-daily-cap-12h                            score=-1898hard/0medium/0soft        matches=312
Stage1  | t+11484s | total=-5267hard/0medium/-651898soft           
          block-end-within-window                       score=-145hard/0medium/0soft         matches=49
          block-no-underfill                            score=-40hard/0medium/0soft          matches=1
          block-overfill-at-most-one-day                score=-1050hard/0medium/0soft        matches=65
          emp-monthly-overtime-limit                    score=-128hard/0medium/0soft         matches=21
          emp-one-task-per-day                          score=-310hard/0medium/0soft         matches=310
          emp-region-transit-gap                        score=-73hard/0medium/0soft          matches=59
          phase-order                                   score=-1553hard/0medium/0soft        matches=208
          seat-daily-cap-12h                            score=-1968hard/0medium/0soft        matches=310
Stage1  | t+11488s | total=-5245hard/0medium/-649783soft           
          block-end-within-window                       score=-167hard/0medium/0soft         matches=50
          block-no-underfill                            score=-40hard/0medium/0soft          matches=1
          block-overfill-at-most-one-day                score=-1116hard/0medium/0soft        matches=72
          emp-monthly-overtime-limit                    score=-112hard/0medium/0soft         matches=22
          emp-one-task-per-day                          score=-291hard/0medium/0soft         matches=281
          emp-region-transit-gap                        score=-81hard/0medium/0soft          matches=65
          phase-order                                   score=-1572hard/0medium/0soft        matches=215
          seat-daily-cap-12h                            score=-1866hard/0medium/0soft        matches=281
Stage1  | t+11493s | total=-5244hard/0medium/-644068soft           
          block-end-within-window                       score=-184hard/0medium/0soft         matches=52
          block-no-underfill                            score=-40hard/0medium/0soft          matches=1
          block-overfill-at-most-one-day                score=-1180hard/0medium/0soft        matches=71
          emp-monthly-overtime-limit                    score=-116hard/0medium/0soft         matches=22
          emp-one-task-per-day                          score=-298hard/0medium/0soft         matches=297
          emp-region-transit-gap                        score=-91hard/0medium/0soft          matches=68
          phase-order                                   score=-1497hard/0medium/0soft        matches=211
          seat-daily-cap-12h                            score=-1838hard/0medium/0soft        matches=297
Stage1  | t+11499s | total=-5232hard/0medium/-646717soft           
          block-end-within-window                       score=-158hard/0medium/0soft         matches=49
          block-no-underfill                            score=-40hard/0medium/0soft          matches=1
          block-overfill-at-most-one-day                score=-1218hard/0medium/0soft        matches=68
          emp-monthly-overtime-limit                    score=-148hard/0medium/0soft         matches=21
          emp-one-task-per-day                          score=-294hard/0medium/0soft         matches=293
          emp-region-transit-gap                        score=-97hard/0medium/0soft          matches=75
          phase-order                                   score=-1437hard/0medium/0soft        matches=210
          seat-daily-cap-12h                            score=-1840hard/0medium/0soft        matches=293
Stage1  | t+11500s | total=-5224hard/0medium/-646619soft           
          block-end-within-window                       score=-158hard/0medium/0soft         matches=49
          block-no-underfill                            score=-40hard/0medium/0soft          matches=1
          block-overfill-at-most-one-day                score=-1210hard/0medium/0soft        matches=67
          emp-monthly-overtime-limit                    score=-148hard/0medium/0soft         matches=21
          emp-one-task-per-day                          score=-294hard/0medium/0soft         matches=293
          emp-region-transit-gap                        score=-97hard/0medium/0soft          matches=75
          phase-order                                   score=-1437hard/0medium/0soft        matches=210
          seat-daily-cap-12h                            score=-1840hard/0medium/0soft        matches=293
Stage1  | t+11501s | total=-5212hard/0medium/-646618soft           
          block-end-within-window                       score=-158hard/0medium/0soft         matches=49
          block-no-underfill                            score=-40hard/0medium/0soft          matches=1
          block-overfill-at-most-one-day                score=-1210hard/0medium/0soft        matches=67
          emp-monthly-overtime-limit                    score=-148hard/0medium/0soft         matches=21
          emp-one-task-per-day                          score=-293hard/0medium/0soft         matches=292
          emp-region-transit-gap                        score=-96hard/0medium/0soft          matches=74
          phase-order                                   score=-1437hard/0medium/0soft        matches=210
          seat-daily-cap-12h                            score=-1830hard/0medium/0soft        matches=292
Stage1  | t+11505s | total=-5210hard/0medium/-645717soft           
          block-end-within-window                       score=-179hard/0medium/0soft         matches=56
          block-no-underfill                            score=-80hard/0medium/0soft          matches=2
          block-overfill-at-most-one-day                score=-1298hard/0medium/0soft        matches=74
          emp-monthly-overtime-limit                    score=-74hard/0medium/0soft          matches=12
          emp-one-task-per-day                          score=-284hard/0medium/0soft         matches=284
          emp-region-transit-gap                        score=-101hard/0medium/0soft         matches=79
          phase-order                                   score=-1442hard/0medium/0soft        matches=218
          seat-daily-cap-12h                            score=-1752hard/0medium/0soft        matches=284
Stage1  | t+11509s | total=-5209hard/0medium/-648322soft           
          block-end-within-window                       score=-168hard/0medium/0soft         matches=55
          block-no-underfill                            score=-40hard/0medium/0soft          matches=1
          block-overfill-at-most-one-day                score=-1372hard/0medium/0soft        matches=76
          emp-monthly-overtime-limit                    score=-136hard/0medium/0soft         matches=22
          emp-one-task-per-day                          score=-294hard/0medium/0soft         matches=292
          emp-region-transit-gap                        score=-76hard/0medium/0soft          matches=61
          phase-order                                   score=-1357hard/0medium/0soft        matches=214
          seat-daily-cap-12h                            score=-1766hard/0medium/0soft        matches=292
Stage1  | t+11511s | total=-5166hard/0medium/-651700soft           
          block-end-within-window                       score=-166hard/0medium/0soft         matches=55
          block-no-underfill                            score=-40hard/0medium/0soft          matches=1
          block-overfill-at-most-one-day                score=-1392hard/0medium/0soft        matches=80
          emp-monthly-overtime-limit                    score=-140hard/0medium/0soft         matches=22
          emp-one-task-per-day                          score=-280hard/0medium/0soft         matches=280
          emp-region-transit-gap                        score=-79hard/0medium/0soft          matches=63
          phase-order                                   score=-1387hard/0medium/0soft        matches=216
          seat-daily-cap-12h                            score=-1682hard/0medium/0soft        matches=280
Stage1  | t+11512s | total=-5156hard/0medium/-652819soft           
          block-end-within-window                       score=-166hard/0medium/0soft         matches=55
          block-no-underfill                            score=-40hard/0medium/0soft          matches=1
          block-overfill-at-most-one-day                score=-1412hard/0medium/0soft        matches=81
          emp-monthly-overtime-limit                    score=-140hard/0medium/0soft         matches=22
          emp-one-task-per-day                          score=-274hard/0medium/0soft         matches=274
          emp-region-transit-gap                        score=-79hard/0medium/0soft          matches=63
          phase-order                                   score=-1387hard/0medium/0soft        matches=216
          seat-daily-cap-12h                            score=-1658hard/0medium/0soft        matches=274
Stage1  | t+11536s | total=-5150hard/0medium/-635612soft           
          block-end-within-window                       score=-160hard/0medium/0soft         matches=59
          block-overfill-at-most-one-day                score=-1244hard/0medium/0soft        matches=74
          emp-monthly-overtime-limit                    score=-54hard/0medium/0soft          matches=11
          emp-one-task-per-day                          score=-286hard/0medium/0soft         matches=284
          emp-region-transit-gap                        score=-81hard/0medium/0soft          matches=61
          phase-order                                   score=-1505hard/0medium/0soft        matches=216
          seat-daily-cap-12h                            score=-1820hard/0medium/0soft        matches=284
Stage1  | t+11543s | total=-5146hard/0medium/-659756soft           
          block-end-within-window                       score=-178hard/0medium/0soft         matches=59
          block-overfill-at-most-one-day                score=-1388hard/0medium/0soft        matches=76
          emp-monthly-overtime-limit                    score=-120hard/0medium/0soft         matches=20
          emp-one-task-per-day                          score=-255hard/0medium/0soft         matches=255
          emp-region-transit-gap                        score=-70hard/0medium/0soft          matches=58
          phase-order                                   score=-1581hard/0medium/0soft        matches=232
          seat-daily-cap-12h                            score=-1554hard/0medium/0soft        matches=255
Stage1  | t+11546s | total=-5144hard/0medium/-657229soft           
          block-end-within-window                       score=-175hard/0medium/0soft         matches=60
          block-overfill-at-most-one-day                score=-1342hard/0medium/0soft        matches=75
          emp-monthly-overtime-limit                    score=-146hard/0medium/0soft         matches=20
          emp-one-task-per-day                          score=-255hard/0medium/0soft         matches=255
          emp-region-transit-gap                        score=-73hard/0medium/0soft          matches=59
          phase-order                                   score=-1581hard/0medium/0soft        matches=227
          seat-daily-cap-12h                            score=-1572hard/0medium/0soft        matches=255
Stage1  | t+11549s | total=-5136hard/0medium/-645968soft           
          block-end-within-window                       score=-187hard/0medium/0soft         matches=61
          block-overfill-at-most-one-day                score=-1260hard/0medium/0soft        matches=72
          emp-monthly-overtime-limit                    score=-102hard/0medium/0soft         matches=17
          emp-one-task-per-day                          score=-270hard/0medium/0soft         matches=270
          emp-region-transit-gap                        score=-70hard/0medium/0soft          matches=57
          phase-order                                   score=-1591hard/0medium/0soft        matches=228
          seat-daily-cap-12h                            score=-1656hard/0medium/0soft        matches=270
Stage1  | t+11553s | total=-5127hard/0medium/-634373soft           
          block-end-within-window                       score=-189hard/0medium/0soft         matches=61
          block-no-underfill                            score=-40hard/0medium/0soft          matches=1
          block-overfill-at-most-one-day                score=-1390hard/0medium/0soft        matches=81
          emp-monthly-overtime-limit                    score=-132hard/0medium/0soft         matches=21
          emp-one-task-per-day                          score=-244hard/0medium/0soft         matches=244
          emp-region-transit-gap                        score=-58hard/0medium/0soft          matches=48
          phase-order                                   score=-1562hard/0medium/0soft        matches=232
          seat-daily-cap-12h                            score=-1512hard/0medium/0soft        matches=244
Stage1  | t+11556s | total=-5109hard/0medium/-629564soft           
          block-end-within-window                       score=-195hard/0medium/0soft         matches=61
          block-no-underfill                            score=-40hard/0medium/0soft          matches=1
          block-overfill-at-most-one-day                score=-1320hard/0medium/0soft        matches=83
          emp-monthly-overtime-limit                    score=-126hard/0medium/0soft         matches=20
          emp-one-task-per-day                          score=-253hard/0medium/0soft         matches=253
          emp-region-transit-gap                        score=-61hard/0medium/0soft          matches=53
          phase-order                                   score=-1596hard/0medium/0soft        matches=231
          seat-daily-cap-12h                            score=-1518hard/0medium/0soft        matches=253
Stage1  | t+11563s | total=-5103hard/0medium/-637244soft           
          block-end-within-window                       score=-189hard/0medium/0soft         matches=56
          block-overfill-at-most-one-day                score=-1192hard/0medium/0soft        matches=75
          emp-monthly-overtime-limit                    score=-98hard/0medium/0soft          matches=16
          emp-one-task-per-day                          score=-272hard/0medium/0soft         matches=268
          emp-region-transit-gap                        score=-55hard/0medium/0soft          matches=43
          phase-order                                   score=-1649hard/0medium/0soft        matches=243
          seat-daily-cap-12h                            score=-1648hard/0medium/0soft        matches=268
Stage1  | t+11568s | total=-5102hard/0medium/-652520soft           
          block-end-within-window                       score=-184hard/0medium/0soft         matches=54
          block-overfill-at-most-one-day                score=-1284hard/0medium/0soft        matches=83
          emp-monthly-overtime-limit                    score=-104hard/0medium/0soft         matches=15
          emp-one-task-per-day                          score=-255hard/0medium/0soft         matches=253
          emp-region-transit-gap                        score=-58hard/0medium/0soft          matches=47
          phase-order                                   score=-1675hard/0medium/0soft        matches=239
          seat-daily-cap-12h                            score=-1542hard/0medium/0soft        matches=253
Stage1  | t+11570s | total=-5098hard/0medium/-651532soft           
          block-end-within-window                       score=-177hard/0medium/0soft         matches=52
          block-overfill-at-most-one-day                score=-1296hard/0medium/0soft        matches=84
          emp-monthly-overtime-limit                    score=-96hard/0medium/0soft          matches=17
          emp-one-task-per-day                          score=-260hard/0medium/0soft         matches=258
          emp-region-transit-gap                        score=-63hard/0medium/0soft          matches=52
          phase-order                                   score=-1648hard/0medium/0soft        matches=242
          seat-daily-cap-12h                            score=-1558hard/0medium/0soft        matches=258
Stage1  | t+11573s | total=-5069hard/0medium/-651546soft           
          block-end-within-window                       score=-153hard/0medium/0soft         matches=51
          block-no-underfill                            score=-40hard/0medium/0soft          matches=1
          block-overfill-at-most-one-day                score=-1142hard/0medium/0soft        matches=75
          emp-monthly-overtime-limit                    score=-112hard/0medium/0soft         matches=18
          emp-one-task-per-day                          score=-270hard/0medium/0soft         matches=269
          emp-region-transit-gap                        score=-82hard/0medium/0soft          matches=59
          phase-order                                   score=-1612hard/0medium/0soft        matches=242
          seat-daily-cap-12h                            score=-1658hard/0medium/0soft        matches=269
Stage1  | t+11583s | total=-5044hard/0medium/-642797soft           
          block-end-within-window                       score=-178hard/0medium/0soft         matches=56
          block-overfill-at-most-one-day                score=-1178hard/0medium/0soft        matches=75
          emp-monthly-overtime-limit                    score=-104hard/0medium/0soft         matches=14
          emp-one-task-per-day                          score=-281hard/0medium/0soft         matches=279
          emp-region-transit-gap                        score=-71hard/0medium/0soft          matches=53
          phase-order                                   score=-1556hard/0medium/0soft        matches=242
          seat-daily-cap-12h                            score=-1676hard/0medium/0soft        matches=279
Stage1  | t+11584s | total=-5044hard/0medium/-642772soft           
          block-end-within-window                       score=-178hard/0medium/0soft         matches=56
          block-overfill-at-most-one-day                score=-1178hard/0medium/0soft        matches=75
          emp-monthly-overtime-limit                    score=-104hard/0medium/0soft         matches=14
          emp-one-task-per-day                          score=-281hard/0medium/0soft         matches=279
          emp-region-transit-gap                        score=-71hard/0medium/0soft          matches=53
          phase-order                                   score=-1556hard/0medium/0soft        matches=242
          seat-daily-cap-12h                            score=-1676hard/0medium/0soft        matches=279
Stage1  | t+11589s | total=-5024hard/0medium/-639102soft           
          block-end-within-window                       score=-166hard/0medium/0soft         matches=55
          block-overfill-at-most-one-day                score=-1114hard/0medium/0soft        matches=67
          emp-monthly-overtime-limit                    score=-96hard/0medium/0soft          matches=13
          emp-one-task-per-day                          score=-297hard/0medium/0soft         matches=294
          emp-region-transit-gap                        score=-73hard/0medium/0soft          matches=54
          phase-order                                   score=-1564hard/0medium/0soft        matches=241
          seat-daily-cap-12h                            score=-1714hard/0medium/0soft        matches=294
Stage1  | t+11590s | total=-5010hard/0medium/-639112soft           
          block-end-within-window                       score=-166hard/0medium/0soft         matches=55
          block-overfill-at-most-one-day                score=-1114hard/0medium/0soft        matches=67
          emp-monthly-overtime-limit                    score=-96hard/0medium/0soft          matches=13
          emp-one-task-per-day                          score=-295hard/0medium/0soft         matches=292
          emp-region-transit-gap                        score=-73hard/0medium/0soft          matches=54
          phase-order                                   score=-1564hard/0medium/0soft        matches=241
          seat-daily-cap-12h                            score=-1702hard/0medium/0soft        matches=292
Stage1  | t+11613s | total=-5008hard/0medium/-651355soft           
          block-end-within-window                       score=-186hard/0medium/0soft         matches=61
          block-overfill-at-most-one-day                score=-1132hard/0medium/0soft        matches=78
          emp-monthly-overtime-limit                    score=-162hard/0medium/0soft         matches=22
          emp-one-task-per-day                          score=-263hard/0medium/0soft         matches=262
          emp-region-transit-gap                        score=-67hard/0medium/0soft          matches=51
          phase-order                                   score=-1618hard/0medium/0soft        matches=216
          seat-daily-cap-12h                            score=-1580hard/0medium/0soft        matches=262
Stage1  | t+11614s | total=-5007hard/0medium/-651364soft           
          block-end-within-window                       score=-186hard/0medium/0soft         matches=61
          block-overfill-at-most-one-day                score=-1132hard/0medium/0soft        matches=78
          emp-monthly-overtime-limit                    score=-162hard/0medium/0soft         matches=22
          emp-one-task-per-day                          score=-263hard/0medium/0soft         matches=262
          emp-region-transit-gap                        score=-67hard/0medium/0soft          matches=51
          phase-order                                   score=-1617hard/0medium/0soft        matches=216
          seat-daily-cap-12h                            score=-1580hard/0medium/0soft        matches=262
Stage1  | t+11615s | total=-4992hard/0medium/-651154soft           
          block-end-within-window                       score=-186hard/0medium/0soft         matches=61
          block-overfill-at-most-one-day                score=-1132hard/0medium/0soft        matches=78
          emp-monthly-overtime-limit                    score=-162hard/0medium/0soft         matches=22
          emp-one-task-per-day                          score=-260hard/0medium/0soft         matches=259
          emp-region-transit-gap                        score=-67hard/0medium/0soft          matches=51
          phase-order                                   score=-1617hard/0medium/0soft        matches=216
          seat-daily-cap-12h                            score=-1568hard/0medium/0soft        matches=259
Stage1  | t+11620s | total=-4991hard/0medium/-642996soft           
          block-end-within-window                       score=-195hard/0medium/0soft         matches=63
          block-no-underfill                            score=-40hard/0medium/0soft          matches=1
          block-overfill-at-most-one-day                score=-1220hard/0medium/0soft        matches=79
          emp-monthly-overtime-limit                    score=-104hard/0medium/0soft         matches=20
          emp-one-task-per-day                          score=-278hard/0medium/0soft         matches=278
          emp-region-transit-gap                        score=-70hard/0medium/0soft          matches=56
          phase-order                                   score=-1476hard/0medium/0soft        matches=194
          seat-daily-cap-12h                            score=-1608hard/0medium/0soft        matches=278
Stage1  | t+11622s | total=-4964hard/0medium/-642445soft           
          block-end-within-window                       score=-195hard/0medium/0soft         matches=63
          block-no-underfill                            score=-40hard/0medium/0soft          matches=1
          block-overfill-at-most-one-day                score=-1200hard/0medium/0soft        matches=77
          emp-monthly-overtime-limit                    score=-94hard/0medium/0soft          matches=19
          emp-one-task-per-day                          score=-279hard/0medium/0soft         matches=278
          emp-region-transit-gap                        score=-72hard/0medium/0soft          matches=58
          phase-order                                   score=-1476hard/0medium/0soft        matches=194
          seat-daily-cap-12h                            score=-1608hard/0medium/0soft        matches=278
Stage1  | t+11637s | total=-4963hard/0medium/-640747soft           
          block-end-within-window                       score=-195hard/0medium/0soft         matches=63
          block-overfill-at-most-one-day                score=-1370hard/0medium/0soft        matches=87
          emp-monthly-overtime-limit                    score=-156hard/0medium/0soft         matches=24
          emp-one-task-per-day                          score=-232hard/0medium/0soft         matches=232
          emp-region-transit-gap                        score=-63hard/0medium/0soft          matches=55
          phase-order                                   score=-1463hard/0medium/0soft        matches=201
          seat-daily-cap-12h                            score=-1484hard/0medium/0soft        matches=232
Stage1  | t+11637s | total=-4946hard/0medium/-641284soft           
          block-end-within-window                       score=-195hard/0medium/0soft         matches=63
          block-overfill-at-most-one-day                score=-1370hard/0medium/0soft        matches=87
          emp-monthly-overtime-limit                    score=-156hard/0medium/0soft         matches=24
          emp-one-task-per-day                          score=-230hard/0medium/0soft         matches=230
          emp-region-transit-gap                        score=-64hard/0medium/0soft          matches=56
          phase-order                                   score=-1463hard/0medium/0soft        matches=201
          seat-daily-cap-12h                            score=-1468hard/0medium/0soft        matches=230
Stage1  | t+11646s | total=-4928hard/0medium/-641897soft           
          block-end-within-window                       score=-174hard/0medium/0soft         matches=58
          block-overfill-at-most-one-day                score=-1208hard/0medium/0soft        matches=78
          emp-monthly-overtime-limit                    score=-128hard/0medium/0soft         matches=19
          emp-one-task-per-day                          score=-266hard/0medium/0soft         matches=263
          emp-region-transit-gap                        score=-88hard/0medium/0soft          matches=61
          phase-order                                   score=-1456hard/0medium/0soft        matches=204
          seat-daily-cap-12h                            score=-1608hard/0medium/0soft        matches=263
Stage1  | t+11650s | total=-4914hard/0medium/-638427soft           
          block-end-within-window                       score=-173hard/0medium/0soft         matches=55
          block-overfill-at-most-one-day                score=-1208hard/0medium/0soft        matches=73
          emp-monthly-overtime-limit                    score=-116hard/0medium/0soft         matches=19
          emp-one-task-per-day                          score=-286hard/0medium/0soft         matches=281
          emp-region-transit-gap                        score=-77hard/0medium/0soft          matches=57
          phase-order                                   score=-1358hard/0medium/0soft        matches=201
          seat-daily-cap-12h                            score=-1696hard/0medium/0soft        matches=281
Stage1  | t+11662s | total=-4887hard/0medium/-658140soft           
          block-end-within-window                       score=-172hard/0medium/0soft         matches=60
          block-no-underfill                            score=-120hard/0medium/0soft         matches=2
          block-overfill-at-most-one-day                score=-1222hard/0medium/0soft        matches=70
          emp-monthly-overtime-limit                    score=-58hard/0medium/0soft          matches=12
          emp-one-task-per-day                          score=-279hard/0medium/0soft         matches=278
